Date:,Material,Threshold Power,Power (Deposition),Rate,Thickness (nm),Crystal Monitor %
12/26/2023,Gold,30.00%,49.50%,0.9,200nm,81.48%
12/27/2023,Silver,8.40%,12.00%,0.5,60nm,81.01%
12/29/2023,Silver,9.00%,12.50%,0.59,40nm,80.88%
01/03/2024,Silver,8.10%,12.00%,0.5,100nm,n/a
01/09/2024,Silver,8.10%,13.30%,0.85,30nm,n/a
01/09/2024,Gold,30.00%,51.00%,1.39,100nm,77.67%
01/10/2024,Chromium,10.30%,21.30%,0.2,5nm,77.66%
01/10/2024,Chromium,11.00%,24.00%,0.35,3nm,n/a
01/10/2024,Gold,30.00%,49.00%,1.08,30nm,n/a
01/11/2024,Gold,30.00%,69.50%,1.03,50nm,76.99%
01/11/2024,Gold,31.00%,49.30%,1.09,30nm,74.46%
01/11/2024,Platinum,13.00%,55.90%,0.4,30nm,74.20%
01/12/2024,Chromium,12.00%,20.50%,0.3,5nm,74.19%
01/12/2024,Gold,30.00%,49.50%,0.89,200nm,71.58%
01/16/2024,Chromium,9.00%,27.00%,0.5,10nm,n/a
01/16/2024,Gold,33.00%,55.00%,2,60nm,n/a
01/17/2024,Titanium,9.00%,12.20%,0.21,5nm,69.85%
01/18/2024,Titanium,9.00%,12.30%,0.3,5nm,98.05%
01/18/2024,Gold,27.00%,48.00%,0.75,35nm,97.35%
01/19/2024,Titanium,9.00%,11.60%,0.26,5nm,n/a
01/19/2024,Platinum,31.00%,47.00%,0.2,5nm,96.71%
01/20/2024,Gold,30.00%,68.00%,1.05,100nm,94.69%
01/23/2024,Titanium,9.00%,12.00%,0.25,7nm,94.62%
01/23/2024,Platinum,35.00%,50.10%,0.23,34nm,93.63%
01/23/2024,Silver,8.50%,14.00%,1,100nm,92.97%
01/23/2024,Titanium,9.00%,13.00%,0.3,5nm,92.94%
01/23/2024,Gold,30.00%,47.00%,1,35nm,92.40%
01/24/2024,Platinum,35.00%,54.60%,0.33,86.6nm,91.14%
01/24/2024,Titanium,8.10%,13.60%,0.22,5nm,91.08%
01/24/2024,Platinum,35.50%,55.00%,0.19,10nm,90.84%
01/24/2024,Titanium,9.50%,13.70%,0.22,10nm,90.79%
01/24/2024,Platinum,34.30%,56.00%,0.19,10nm,90.49%
01/25/2024,Chromium,2.00%,7.00%,0.2,7nm,90.41%
01/25/2024,Gold,30.00%,52.10%,1.08,120nm,87.61%
01/26/2024,Silver,10.00%,13.00%,0.5,100nm,86.91%
01/26/2024,Chromium,9.60%,9.00%,0.21,15nm,86.80%
01/26/2024,Gold,30.00%,52.00%,1,55nm,85.24%
01/28/2024,Gold,30.00%,48.00%,0.6,30nm,84.57%
01/29/2024,Titanium,10.00%,15.00%,0.35,5nm,84.53%
01/29/2024,Gold,30.00%,50.00%,1,25nm,84.13%
01/31/2024,Titanium,9.00%,12.00%,0.25,7nm,82.58%
01/31/2024,Silver,14.00%,25.00%,0.8,100nm,n/a
02/01/2024,Chromium,10.00%,18.00%,0.95,170nm,81.88%
02/01/2024,Gold,27.00%,42.00%,0.6,20nm,81.19%
02/02/2024,Titanium,8.00%,13.20%,0.3,5nm,81.42%
02/02/2024,Gold,30.00%,42.00%,0.7,30nm,80.63%
02/02/2024,Silver,9.00%,15.00%,1,100nm,n/a
02/06/2024,Chromium,8.00%,6.50%,0.81,9nm,98.00%
02/06/2024,Gold,38.00%,40.00%,0.1-0.42,100nm,96.97%
02/06/2024,Silver,10.00%,13.00%,0.59,38nm,96.21%
02/07/2024,Silver,10.00%,14.00%,0.66,40nm,95.60%
02/07/2024,Silver,10.50%,14.00%,0.7,60nm,95.36%
02/07/2024,Chromium,4.00%,15.00%,0.5,15nm,n/a
02/07/2024,Gold,27.00%,43.00%,1,55nm,93.84%
02/09/2024,Silver,9.00%,13.70%,0.6,40nm,93.38%
02/09/2024,Silver,9.60%,13.70%,0.58,60nm,92.98%
02/09/2024,Titanium,8.00%,12.60%,0.3,5nm,92.95%
02/09/2024,Gold,25.00%,42.00%,0.85,50nm,92.09%
02/14/2024,Chromium,12.00%,25.00%,0.7,10nm,n/a
02/14/2024,Gold,25.00%,45.00%,1.3,60nm,n/a
02/14/2024,Silver,8.30%,13.60%,0.5,40nm,89.30%
02/15/2024,Silver,8.20%,13.06%,0.52,60nm,n/a
02/15/2024,Chromium,15.00%,26.00%,0.5,5nm,89.26%
02/15/2024,Gold,27.00%,43.50%,1,50nm,87.84%
02/16/2024,Titanium,7.00%,12.90%,0.36,5nm,87.81%
02/16/2024,Gold,26.00%,43.20%,0.97,50nm,86.99%
02/16/2024,Silver,8.40%,13.60%,0.48,40nm,86.59%
02/16/2024,Titanium,9.40%,11.50%,0.23,10nm,86.53%
02/16/2024,Platinum,31.00%,43.20%,0.14,10nm,86.25%
02/20/2024,Chromium,15.00%,27.00%,0.53,10nm,86.19%
02/20/2024,Gold,28.00%,40.00%,0.5,100nm,84.44%
02/21/2024,Silver,20.00%,15.00%,0.7,100nm,83.73%
02/22/2024,Titanium,8.00%,13.20%,0.32,5nm,83.70%
02/22/2024,Gold,30.00%,37.50%,0.35,40nm,83.12%
02/22/2024,Silver,8.00%,14.10%,1,100nm,82.42%
02/22/2024,Chromium,12.00%,36.00%,1.2,170nm,81.66%
02/22/2024,Gold,30.00%,45.00%,1.08,20nm,81.12%
02/23/2024,Silver,10.40%,14.00%,0.5,100nm,81.00%
02/27/2024,Chromium,15.00%,28.00%,0.2,5nm,80.34%
02/27/2024,Platinum,31.00%,44.20%,0.1,9nm,80.26%
02/27/2024,Silver,8.10%,13.70%,0.6,40nm,79.90%
02/28/2024,Silver,0.40%,14.00%,0.7,100nm,77.77%
02/29/2024,Silver,8.10%,13.70%,n/a,40nm,77.43%
02/29/2024,Titanium,8.00%,14.00%,0.3,5nm,77.39%
02/29/2024,Gold,30.00%,36.00%,0.45,40nm,76.85%
02/29/2024,Silver,8.50%,14.00%,0.8,100nm,76.20%
03/01/2024,Silver,0.50%,14.00%,0.6,100nm,73.10%
03/01/2024,Chromium,17.10%,45.00%,0.9,10nm,n/a
03/01/2024,Gold,24.00%,45.00%,1.5,50nm,n/a
